zip,top_5_breeds
98101,"{'french bulldog': 7.0, 'shih tzu': 7.0, 'golden retriever': 6.0, 'short coat chihuahua': 6.0, 'labrador retriever': 5.0}"
98102,"{'labrador retriever': 29.0, 'golden retriever': 16.0, 'french bulldog': 10.0, 'pembroke welsh corgi': 10.0, 'short coat chihuahua': 8.0}"
98103,"{'labrador retriever': 74.0, 'golden retriever': 58.0, 'pembroke welsh corgi': 27.0, 'german shepherd': 27.0, 'havanese': 21.0}"
98104,"{'short coat chihuahua': 10.0, 'miniature long haired dachshund': 3.0, 'american cocker spaniel': 3.0, 'american pit bull terrier': 2.0, 'havanese': 2.0}"
98105,"{'labrador retriever': 54.0, 'golden retriever': 49.0, 'havanese': 19.0, 'border collie': 12.0, 'german shepherd': 12.0}"
98106,"{'labrador retriever': 30.0, 'golden retriever': 21.0, 'german shepherd': 15.0, 'boston terrier': 12.0, 'siberian husky': 11.0}"
98107,"{'labrador retriever': 41.0, 'golden retriever': 23.0, 'miniature australian shepherd': 18.0, 'pembroke welsh corgi': 16.0, 'standard poodle': 14.0}"
98108,"{'short coat chihuahua': 13.0, 'labrador retriever': 11.0, 'german shepherd': 10.0, 'golden retriever': 9.0, 'border collie': 8.0}"
98109,"{'labrador retriever': 24.0, 'golden retriever': 23.0, 'australian shepherd': 17.0, 'pembroke welsh corgi': 13.0, 'french bulldog': 12.0}"
98112,"{'labrador retriever': 62.0, 'golden retriever': 39.0, 'havanese': 12.0, 'standard poodle': 12.0, 'miniature poodle': 11.0}"
98115,"{'labrador retriever': 122.0, 'golden retriever': 81.0, 'australian shepherd': 32.0, 'pembroke welsh corgi': 29.0, 'standard poodle': 29.0}"
98116,"{'labrador retriever': 46.0, 'golden retriever': 45.0, 'pembroke welsh corgi': 13.0, 'australian shepherd': 12.0, 'cavalier king charles spaniel': 12.0}"
98117,"{'labrador retriever': 98.0, 'golden retriever': 57.0, 'australian shepherd': 25.0, 'french bulldog': 20.0, 'havanese': 20.0}"
98118,"{'labrador retriever': 45.0, 'german shepherd': 27.0, 'short coat chihuahua': 22.0, 'standard poodle': 20.0, 'golden retriever': 18.0}"
98119,"{'labrador retriever': 29.0, 'golden retriever': 25.0, 'australian shepherd': 14.0, 'standard poodle': 12.0, 'havanese': 10.0}"
98121,"{'shih tzu': 8.0, 'short coat chihuahua': 7.0, 'labrador retriever': 7.0, 'golden retriever': 6.0, 'standard poodle': 4.0}"
98122,"{'golden retriever': 39.0, 'labrador retriever': 27.0, 'shiba inu': 17.0, 'pembroke welsh corgi': 15.0, 'german shepherd': 13.0}"
98125,"{'labrador retriever': 64.0, 'golden retriever': 36.0, 'australian shepherd': 21.0, 'pembroke welsh corgi': 18.0, 'german shepherd': 17.0}"
98126,"{'labrador retriever': 44.0, 'golden retriever': 28.0, 'pembroke welsh corgi': 14.0, 'german shepherd': 12.0, 'australian shepherd': 11.0}"
98127,"{'shetland sheepdog': 2.0, 'standard poodle': 1.0, 'basset hound': 1.0, 'french bulldog': nan, 'shih tzu': nan}"
98132,"{'siberian husky': 1.0, 'french bulldog': nan, 'shih tzu': nan, 'golden retriever': nan, 'short coat chihuahua': nan}"
98133,"{'labrador retriever': 30.0, 'golden retriever': 18.0, 'portuguese water dog': 15.0, 'australian shepherd': 12.0, 'german shepherd': 11.0}"
98134,"{'pomeranian': 2.0, 'labrador retriever': 1.0, 'yorkshire terrier': 1.0, 'siberian husky': 1.0, 'miniature pinscher': 1.0}"
98136,"{'labrador retriever': 42.0, 'golden retriever': 25.0, 'pug': 10.0, 'german shepherd': 10.0, 'havanese': 9.0}"
98139,"{'labrador retriever': 1.0, 'shiba inu': 1.0, 'affenpinscher': 1.0, 'brussels griffon': 1.0, 'chinese shar-pei': 1.0}"
