zip,breed,count
98101,airedale terrier,1
98101,akita,1
98101,american eskimo,1
98101,australian shepherd,4
98101,basenji,1
98101,basset hound,2
98101,belgian sheepdog,1
98101,bichon frise,1
98101,border collie,1
98101,border terrier,1
98101,boston terrier,1
98101,boxer,2
98101,bull terrier,2
98101,bulldog,1
98101,bullmastiff,1
98101,cavalier king charles spaniel,4
98101,french bulldog,7
98101,german shepherd,2
98101,golden retriever,6
98101,greyhound,2
98101,havanese,4
98101,labrador retriever,5
98101,long coat chihuahua,1
98101,lowchen,1
98101,maltese,1
98101,miniature australian shepherd,2
98101,miniature long haired dachshund,1
98101,miniature pinscher,2
98101,miniature poodle,5
98101,miniature schnauzer,1
98101,miniature smooth haired dachshund,1
98101,mountain cur,1
98101,old english sheepdog,1
98101,papillon,1
98101,pembroke welsh corgi,4
98101,pomeranian,4
98101,pug,1
98101,rough collie,2
98101,samoyed,1
98101,scottish terrier,1
98101,shiba inu,2
98101,shih tzu,7
98101,short coat chihuahua,6
98101,siberian husky,3
98101,spaniel,1
98101,staffordshire bull terrier,2
98101,standard poodle,4
98101,swedish vallhund,1
98101,toy poodle,2
98101,weimaraner,1
98101,west highland white terrier,2
98101,whippet,1
98101,wire fox terrier,1
98101,yorkshire terrier,4
98102,affenpinscher,1
98102,akita,4
98102,alaskan klee kai,1
98102,alaskan malamute,3
98102,american cocker spaniel,1
98102,american eskimo,1
98102,american pit bull terrier,2
98102,american staffordshire terrier,2
98102,american water spaniel,1
98102,australian cattle dog,1
98102,australian shepherd,4
98102,basenji,1
98102,beagle,3
98102,bernese mountain dog,1
98102,bichon frise,1
98102,boerboel,1
98102,bolognese,2
98102,border collie,3
98102,boston terrier,5
98102,boxer,3
98102,brussels griffon,1
98102,cardigan welsh corgi,3
98102,cavalier king charles spaniel,6
98102,chinese shar-pei,1
98102,coton de tulear,2
98102,dalmatian,1
98102,english bulldog,3
98102,english cocker spaniel,1
98102,english shepherd,1
98102,entlebucher mountain dog,1
98102,french brittany,1
98102,french bulldog,10
98102,german shepherd,6
98102,german shorthaired pointer,1
98102,golden retriever,16
98102,great dane,3
98102,great pyrenees,3
98102,greater swiss mountain dog,2
98102,greyhound,2
98102,havanese,5
98102,irish setter,1
98102,italian greyhound,2
98102,jack russell terrier,1
98102,keeshond,3
98102,king german shepherd,2
98102,korean jindo,1
98102,labrador retriever,29
98102,lagotto romagnolo,2
98102,leonberger,1
98102,lhasa apso,2
98102,maltese,2
98102,manchester terrier,1
98102,medium (up to 44 lbs fully grown) mixed breed,1
98102,miniature australian shepherd,7
98102,miniature long haired dachshund,6
98102,miniature pinscher,1
98102,miniature poodle,5
98102,miniature schnauzer,3
98102,miniature smooth haired dachshund,3
98102,mountain cur,1
98102,olde english bulldogge,1
98102,pembroke welsh corgi,10
98102,pomeranian,4
98102,portuguese water dog,3
98102,pug,3
98102,rat terrier,1
98102,retriever,3
98102,rhodesian ridgeback,2
98102,rottweiler,2
98102,rough collie,1
98102,samoyed,1
98102,schipperke,2
98102,shepherd,2
98102,shetland sheepdog,2
98102,shiba inu,7
98102,shih tzu,4
98102,short coat chihuahua,8
98102,siberian husky,8
98102,smooth fox terrier,1
98102,smooth haired vizsla,4
98102,soft coated wheaten terrier,3
98102,staffordshire bull terrier,1
98102,standard long haired dachshund,2
98102,standard poodle,6
98102,standard schnauzer,1
98102,standard smooth haired dachshund,3
98102,standard wire haired dachshund,1
98102,terrier,1
98102,toy poodle,3
98102,weimaraner,1
98102,west highland white terrier,8
98102,whippet,1
98102,xoloitzcuintli,1
98102,yorkshire terrier,5
98103,akbash,1
98103,alaskan husky,2
98103,alaskan klee kai,1
98103,alaskan malamute,3
98103,american bulldog,1
98103,american eskimo,1
98103,american foxhound,1
98103,american pit bull terrier,7
98103,american staffordshire terrier,3
98103,appenzeller sennenhunde,1
98103,australian cattle dog,7
98103,australian shepherd,20
98103,barbet,2
98103,basset hound,2
98103,beagle,9
98103,bearded collie,1
98103,belgian malinois,2
98103,bernese mountain dog,14
98103,bichon frise,2
98103,black-mouth cur,1
98103,border collie,17
98103,border terrier,2
98103,boston terrier,14
98103,boxer,6
98103,bracco italiano,1
98103,briard,1
98103,brittany,3
98103,bull terrier,1
98103,bulldog,1
98103,cairn terrier,4
98103,cardigan welsh corgi,6
98103,catahoula leopard dog,1
98103,cavalier king charles spaniel,14
98103,chesapeake bay retriever,1
98103,chinese shar-pei,2
98103,chinook,2
98103,chow chow,1
98103,coonhound,1
98103,coton de tulear,3
98103,dalmatian,2
98103,doberman pinscher,2
98103,english bulldog,3
98103,english cocker spaniel,3
98103,english mastiff,1
98103,english setter,4
98103,english shepherd,2
98103,english springer spaniel,11
98103,flat-coated retriever,3
98103,french bulldog,7
98103,german shepherd,27
98103,german shorthaired pointer,7
98103,german wirehaired pointer,3
98103,golden retriever,58
98103,gordon setter,1
98103,grand basset griffon vendeen,2
98103,great dane,6
98103,great pyrenees,2
98103,greater swiss mountain dog,1
98103,greyhound,18
98103,havanese,21
98103,hound,1
98103,icelandic sheepdog,2
98103,irish terrier,2
98103,irish wolfhound,1
98103,italian greyhound,1
98103,jack russell terrier,5
98103,kai ken,1
98103,labrador retriever,74
98103,lacy,1
98103,lagotto romagnolo,8
98103,large (over 44 lbs fully grown) mixed breed,1
98103,lhasa apso,3
98103,long coat chihuahua,3
98103,maltese,1
98103,manchester terrier,1
98103,medium (up to 44 lbs fully grown) mixed breed,1
98103,mexican hairless,1
98103,miniature australian shepherd,6
98103,miniature bull terrier,1
98103,miniature long haired dachshund,4
98103,miniature poodle,14
98103,miniature schnauzer,11
98103,miniature smooth haired dachshund,7
98103,mountain cur,2
98103,newfoundland,2
98103,norfolk terrier,1
98103,nova scotia duck tolling retriever,6
98103,old english sheepdog,4
98103,olde english bulldogge,1
98103,otterhound,1
98103,papillon,2
98103,pekingese,6
98103,pembroke welsh corgi,27
98103,pit bull terrier,1
98103,pointer,1
98103,pomeranian,9
98103,portuguese water dog,3
98103,pug,18
98103,rat terrier,8
98103,redbone coonhound,1
98103,retriever,12
98103,rhodesian ridgeback,2
98103,rottweiler,1
98103,rough collie,1
98103,saint bernard,1
98103,samoyed,3
98103,schipperke,5
98103,scottish terrier,4
98103,shepherd,2
98103,shetland sheepdog,5
98103,shiba inu,16
98103,shih tzu,11
98103,short coat chihuahua,7
98103,siberian husky,17
98103,silken windhound,2
98103,smooth haired vizsla,13
98103,soft coated wheaten terrier,4
98103,spaniel,1
98103,standard poodle,11
98103,standard smooth haired dachshund,4
98103,standard wire haired dachshund,2
98103,terrier,7
98103,tibetan spaniel,1
98103,tibetan terrier,2
98103,toy fox terrier,1
98103,toy poodle,3
98103,welsh springer spaniel,2
98103,west highland white terrier,2
98103,white swiss shepherd (berger blanc suisse),1
98103,wire haired vizsla,1
98103,xoloitzcuintli,6
98103,yorkshire terrier,5
98104,alaskan husky,1
98104,alaskan malamute,1
98104,american cocker spaniel,3
98104,american pit bull terrier,2
98104,australian shepherd,1
98104,bichon frise,1
98104,border collie,2
98104,boxer,1
98104,cavalier king charles spaniel,1
98104,chinese crested,1
98104,chinese shar-pei,1
98104,doberman pinscher,2
98104,english bulldog,1
98104,french bulldog,1
98104,german shepherd,1
98104,golden retriever,1
98104,havanese,2
98104,irish setter,1
98104,irish terrier,1
98104,italian greyhound,1
98104,maltese,1
98104,miniature australian shepherd,1
98104,miniature long haired dachshund,3
98104,miniature pinscher,1
98104,miniature poodle,1
